,CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
159,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-06-09,122,Unhealthy for Sensitive Groups,Ozone,06-037-6012,21
160,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-06-10,71,Moderate,Ozone,06-037-9033,20
161,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-06-11,112,Unhealthy for Sensitive Groups,Ozone,06-037-6012,20
162,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-06-12,93,Moderate,Ozone,06-037-6012,21
163,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-06-13,119,Unhealthy for Sensitive Groups,Ozone,06-037-6012,20
164,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-06-14,161,Unhealthy,Ozone,06-037-9033,20
165,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-06-15,150,Unhealthy for Sensitive Groups,Ozone,06-037-9033,20
166,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-06-16,140,Unhealthy for Sensitive Groups,Ozone,06-037-0016,18
167,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-06-17,119,Unhealthy for Sensitive Groups,Ozone,06-037-0016,18
168,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-06-18,100,Moderate,Ozone,06-037-9033,21
169,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-06-19,64,Moderate,Ozone,06-037-6012,20
170,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-06-20,101,Unhealthy for Sensitive Groups,Ozone,06-037-6012,20
171,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-06-21,126,Unhealthy for Sensitive Groups,Ozone,06-037-6012,20
172,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-06-22,140,Unhealthy for Sensitive Groups,Ozone,06-037-6012,19
173,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-06-23,90,Moderate,Ozone,06-037-6012,19
174,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-06-24,54,Moderate,PM2.5,06-037-1103,20
175,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-06-25,61,Moderate,Ozone,06-037-6012,19
176,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-06-26,143,Unhealthy for Sensitive Groups,Ozone,06-037-6012,20
177,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-06-27,67,Moderate,Ozone,06-037-9033,21
178,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-06-28,154,Unhealthy,Ozone,06-037-9033,19
179,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-06-29,197,Unhealthy,Ozone,06-037-6012,20
180,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-06-30,190,Unhealthy,Ozone,06-037-6012,21
181,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-07-01,90,Moderate,Ozone,06-037-9033,20
182,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-07-02,100,Moderate,Ozone,06-037-6012,20
183,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-07-03,129,Unhealthy for Sensitive Groups,Ozone,06-037-9033,21
184,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-07-04,129,Unhealthy for Sensitive Groups,Ozone,06-037-6012,20
185,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-07-05,163,Unhealthy,PM2.5,06-037-0016,20
186,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-07-06,119,Unhealthy for Sensitive Groups,Ozone,06-037-6012,21
187,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-07-07,150,Unhealthy for Sensitive Groups,Ozone,06-037-0016,20
188,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-07-08,129,Unhealthy for Sensitive Groups,Ozone,06-037-1701,20
189,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-07-09,166,Unhealthy,Ozone,06-037-6012,21
190,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-07-10,80,Moderate,Ozone,06-037-9033,20
191,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-07-11,74,Moderate,PM2.5,06-037-1103,20
192,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-07-12,77,Moderate,Ozone,06-037-6012,21
193,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-07-13,115,Unhealthy for Sensitive Groups,Ozone,06-037-0016,20
194,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-07-14,166,Unhealthy,Ozone,06-037-6012,20
195,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-07-15,74,Moderate,Ozone,06-037-1701,21
196,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-07-16,101,Unhealthy for Sensitive Groups,Ozone,06-037-9033,19
197,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-07-17,119,Unhealthy for Sensitive Groups,Ozone,06-037-9033,19
198,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-07-18,169,Unhealthy,Ozone,06-037-9033,21
199,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-07-19,169,Unhealthy,Ozone,06-037-9033,20
200,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-07-20,150,Unhealthy for Sensitive Groups,Ozone,06-037-9033,20
201,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-07-21,75,Moderate,PM2.5,06-037-1002,21
202,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-07-22,90,Moderate,Ozone,06-037-9033,20
203,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-07-23,108,Unhealthy for Sensitive Groups,Ozone,06-037-9033,20
204,"Los Angeles-Long Beach-Anaheim, CA",31080,2013-07-24,108,Unhealthy for Sensitive Groups,Ozone,06-037-9033,21
